"noms","longitude","latitude"
"pal1-el-100-10",-61.6875941215913,47.5420981948951
"pal1-el-100-6",-61.6878443233232,47.5416536193841
"pal1-el-100-7",-61.6873496822142,47.5422255583074
"pal1-el-100-8",-61.6863219225646,47.5422659427446
"pal1-el-100-9",-61.6871942188058,47.5418206972248
"pal1-el-1100-10",-61.6917815588829,47.5464546796468
"pal1-el-1100-6",-61.6953628075943,47.5486194053176
"pal1-el-1100-7",-61.696489516394,47.5488337464138
"pal1-el-1100-8",-61.6933619826096,47.5467344063964
"pal1-el-1100-9",-61.6947718135154,47.5474034297342
"pal1-el-600-10",-61.6906011631017,47.5460420603469
"pal1-el-600-6",-61.6894542335394,47.5448274119178
"pal1-el-600-7",-61.6898578737764,47.545344835678
"pal1-el-600-8",-61.6899322344155,47.5423736824379
"pal1-el-600-9",-61.6910379899621,47.5452039123372
"pal1-mo-100-10",-61.6852106029584,47.5428744240308
"pal1-mo-100-6",-61.6841272120099,47.5435681317981
"pal1-mo-100-7",-61.6861804182368,47.5427770357677
"pal1-mo-100-8",-61.6837369389587,47.5437955914683
"pal1-mo-100-9",-61.6851075256221,47.5425606080947
"pal1-mo-1100-10",-61.6899857677496,47.5482042318058
"pal1-mo-1100-6",-61.6906855301933,47.548161026173
"pal1-mo-1100-7",-61.6891268413807,47.5469638118655
"pal1-mo-1100-8",-61.6897228568344,47.5479203259513
"pal1-mo-1100-9",-61.689380489038,47.5468422841086
"pal1-mo-600-10",-61.6870698080425,47.5451757080625
"pal1-mo-600-6",-61.6852281827843,47.5439914287527
"pal1-mo-600-7",-61.6852806793546,47.5441434864852
"pal1-mo-600-8",-61.6849880294657,47.5445464225158
"pal1-mo-600-9",-61.6848925433522,47.5442875665646
"pal1-pr-100-10",-61.6820254872577,47.5440888178932
"pal1-pr-100-6",-61.6810343672584,47.5445089980972
"pal1-pr-100-7",-61.681371757652,47.544830034411
"pal1-pr-100-8",-61.6816654629493,47.5446140892378
"pal1-pr-100-9",-61.682955500487,47.5440131064291
"pal1-pr-1100-10",-61.6881160922213,47.5502795737527
"pal1-pr-1100-6",-61.6892762266709,47.5512131954111
"pal1-pr-1100-7",-61.6887636957198,47.5515665581778
"pal1-pr-1100-8",-61.6873621416622,47.5498670539156
"pal1-pr-1100-9",-61.6896461049094,47.5519894016431
"pal1-pr-600-10",-61.6834249195077,47.5465651233613
"pal1-pr-600-6",-61.6829508950655,47.5468184214851
"pal1-pr-600-7",-61.6819552444054,47.5457619727026
"pal1-pr-600-8",-61.6860873311683,47.5481791103096
"pal1-pr-600-9",-61.6860634208528,47.546563693816
"pal2-el-100-10",-61.6792171310101,47.5462155003377
"pal2-el-100-6",-61.6799996389821,47.5455482313578
"pal2-el-100-7",-61.678269218443,47.5461159221133
"pal2-el-100-8",-61.6803047335399,47.5455351407992
"pal2-el-100-9",-61.6793349988081,47.54567907614
"pal2-el-1100-10",-61.6851601393081,47.5512578287847
"pal2-el-1100-6",-61.6864843917158,47.55088754685
"pal2-el-1100-7",-61.6859692110589,47.5496961128468
"pal2-el-1100-8",-61.6861424400765,47.5514124916566
"pal2-el-1100-9",-61.6852431736838,47.5499903136346
"pal2-el-600-10",-61.6809299486934,47.5479660192595
"pal2-el-600-6",-61.6812121231541,47.5474542590362
"pal2-el-600-7",-61.6805086729528,47.5471540053673
"pal2-el-600-8",-61.678770269349,47.5467305757608
"pal2-el-600-9",-61.6814249125871,47.5482156972597
"pal2-mo-100-10",-61.6759949726672,47.5478119951929
"pal2-mo-100-6",-61.6756417145232,47.5474318463273
"pal2-mo-100-7",-61.6759716842009,47.5474147079265
"pal2-mo-100-8",-61.6775208892304,47.5461882814929
"pal2-mo-100-9",-61.6764075812453,47.547560444511
"pal2-mo-1100-10",-61.6829573204123,47.5529191875772
"pal2-mo-1100-6",-61.6829515865641,47.5514231536754
"pal2-mo-1100-7",-61.6848130192718,47.5542497848102
"pal2-mo-1100-8",-61.6853354028255,47.5519778990331
"pal2-mo-1100-9",-61.6849900513766,47.5518923361863
"pal2-mo-600-10",-61.6811853951972,47.5490589089052
"pal2-mo-600-6",-61.6782827442418,47.5490965926451
"pal2-mo-600-7",-61.6812009198206,47.5510269361969
"pal2-mo-600-8",-61.6783136804276,47.5493932911583
"pal2-mo-600-9",-61.68123295498,47.5490146656168
"pal2-pr-100-10",-61.6750113225918,47.5478544745463
"pal2-pr-100-6",-61.6729541638528,47.5490999024828
"pal2-pr-100-7",-61.6755723905269,47.5480431418344
"pal2-pr-100-8",-61.6737653584869,47.549404845606
"pal2-pr-100-9",-61.6730986199943,47.5490460720208
"pal2-pr-1100-10",-61.6823017451319,47.5551400896225
"pal2-pr-1100-6",-61.681088302516,47.5535582672129
"pal2-pr-1100-7",-61.6837029506556,47.5552317675239
"pal2-pr-1100-8",-61.6823241334929,47.5535704231561
"pal2-pr-1100-9",-61.6813601719195,47.553959206047
"pal2-pr-600-10",-61.6761761741112,47.5508679368327
"pal2-pr-600-6",-61.6761567482092,47.5491082241155
"pal2-pr-600-7",-61.6751604226569,47.5501277325981
"pal2-pr-600-8",-61.6782621275125,47.5512190764181
"pal2-pr-600-9",-61.6765433177207,47.5515106982688
"pal3-el-100-10",-61.673264313376,47.5499095612222
"pal3-el-100-6",-61.6715476819577,47.550406360647
"pal3-el-100-7",-61.6719688551093,47.5507714518403
"pal3-el-100-8",-61.6725533945734,47.5492617750486
"pal3-el-100-9",-61.6723698434655,47.5505117660305
"pal3-el-1100-10",-61.6797005949324,47.5560328104286
"pal3-el-1100-6",-61.6811134785641,47.5551122007543
"pal3-el-1100-7",-61.6785271963191,47.5543336969175
"pal3-el-1100-8",-61.6792988608924,47.555321974978
"pal3-el-1100-9",-61.6790679850074,47.5552749617224
"pal3-el-600-10",-61.6735098912896,47.551911061418
